route_ID,service_ID,trip_ID,trip_HeadSign,direction_id,shape_id,wheelchair_Accessible,note_fr,note_en

100,20S-H50S000A-85-A,220756882,100-E,0,1000222,2,,
100,20S-H50S000A-85-A,220756884,100-O,1,1000223,2,,
100,20S-H50S000A-85-A,220756885,100-E,0,1000222,2,,
100,20S-H50S000A-85-A,220756887,100-O,1,1000223,2,,
100,20S-H50S000A-85-A,220756888,100-E,0,1000222,2,,
100,20S-H50S000A-85-A,220756890,100-O,1,1000223,2,,
100,20S-H50S000A-85-A,220756891,100-E,0,1000222,2,,
369,20S-H50S000A-85-A,220756893,369-N,0,3690055,2,,
369,20S-H50S000A-85-A,220756894,369-S,1,3690056,2,,
369,20S-H50S000A-85-A,220756895,369-N,0,3690055,2,,
369,20S-H50S000A-85-A,220756897,369-N,0,3690055,2,,
105,20S-H50S000A-85-A,220756899,105-E,0,1050144,1,,
105,20S-H50S000A-85-A,220756901,105-O,1,1050147,1,,
105,20S-H50S000A-85-A,220756902,105-E,0,1050144,1,,
105,20S-H50S000A-85-A,220756903,105-O,1,1050147,1,,
